,Twitter,NPS
5130,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,2
5131,I don't like it,0
5132,Ok I am LOVING THIS,2
5133,"I'm honestly not sure how I feel about this, I'm going to have to see how things Shape Up",2
5134,Amazing things are possible when we work together towards a better future!. .,2
5135,Just nice.,2
5136,Just nice.,2
5137,I don't like it,0
5138,Just nice.,2
5139,Omg so much fun with everyone,2
5140,Very strange,0
5141,I’m really enjoying Black Card,1
5142,"Yes, I have to give Call of Duty a break because this shit looks lit!",0
5143,Ok I am LOVING THIS,2
5144,Such good news,2
5145,Just nice.,1
5146,I don't like it,0
5147,It is a no coincidence,2
5148,Ok I am LOVING THIS,2
5149,Just nice.,2
5150,something,2
5151,Just nice.,2
5152,Ok I am LOVING THIS,2
5153,I don't like it,0
5154,I spent a couple of hours doing payment,0
5155,Ok I am LOVING THIS,2
5156,I’m really enjoying Black Card,2
5157,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
5158,Ok I am LOVING THIS,2
5159,Such good news,2
5160,Just nice.,2
5161,This was amazing.,1
5162,I don't like it,0
5163,I’m really enjoying Black Card,2
5164,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
5165,Ok I am LOVING THIS,2
5166,I don't like it,0
5167,Just nice.,2
5168,This was amazing.,0
5169,It is a no coincidence,0
5170,I’m really enjoying Black Card,2
5171,"Yes, I have to give Call of Duty a break because this shit looks lit!",0
5172,Ok I am LOVING THIS,2
5173,Such good news,1
5174,I don't like it,0
5175,This was amazing.,2
5176,It is a no coincidence,2
5177,Ok I am LOVING THIS,2
5178,Just nice.,1
5179,I spent a couple of hours doing payment,2
5180,Ok I am LOVING THIS,2
5181,Ok I am LOVING THIS,2
5182,Ok I am LOVING THIS,2
5183,Ok I am LOVING THIS,2
5184,Appreciated you attention in the contact center,2
5185,Appreciate the conversations  and actions brought together in new things with your products and service.,2
5186,I don't like it,0
5187,Ok I am LOVING THIS,2
5188,As amazing of this is,1
5189,As extremely amazing as this is,2
5190,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,2
5191,Ok I am LOVING THIS,2
5192,Ok I am LOVING THIS,2
5193,I don't like it,0
5194,I spent a couple of hours doing payment,2
5195,Ok I am LOVING THIS,1
5196,Ok I am LOVING THIS,2
5197,Ok I am LOVING THIS,2
5198,I don't like it,0
5199,Appreciated you attention in the contact center,2
5200,Appreciate the conversations  and actions brought together in new things with your products and service.,2
5201,Ok I am LOVING THIS,2
5202,I don't like it,0
5203,I don't like it,0
5204,As extremely amazing as this is,2
5205,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,2
5206,Ok I am LOVING THIS,2
5207,Ok I am LOVING THIS,1
5208,Just nice.,2
5209,I don't like it,0
5210,Ok I am LOVING THIS,2
5211,I don't like it,0
5212,Ok I am LOVING THIS,2
5213,Ok I am LOVING THIS,0
5214,Appreciated you attention in the contact center,2
5215,Appreciate the conversations  and actions brought together in new things with your products and service.,2
5216,I don't like it,0
5217,Ok I am LOVING THIS,2
5218,As amazing of this is,2
5219,As extremely amazing as this is,2
5220,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,2
5221,Ok I am LOVING THIS,2
5222,Ok I am LOVING THIS,2
5223,Just nice.,2
5224,I spent a couple of hours doing payment,2
5225,Ok I am LOVING THIS,0
5226,Ok I am LOVING THIS,2
5227,I don't like it,0
5228,Ok I am LOVING THIS,1
5229,Appreciated you attention in the contact center,2
5230,Appreciate the conversations  and actions brought together in new things with your products and service.,2
5231,Ok I am LOVING THIS,2
5232,Ok I am LOVING THIS,2
5233,As amazing of this is,2
5234,As extremely amazing as this is,2
5235,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,2
5236,I don't like it,0
5237,Ok I am LOVING THIS,1
5238,Just nice.,2
5239,I spent a couple of hours doing payment,2
5240,Ok I am LOVING THIS,2
5241,Ok I am LOVING THIS,2
5242,Ok I am LOVING THIS,2
5243,Ok I am LOVING THIS,2
5244,Appreciated you attention in the contact center,2
5245,Appreciate the conversations  and actions brought together in new things with your products and service.,2
5246,Ok I am LOVING THIS,2
5247,Ok I am LOVING THIS,2
5248,As amazing of this is,1
5249,I don't like it,0
5250,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,2
5251,Ok I am LOVING THIS,1
5252,I hate the ebanking I prefer mobile app,0
5253,I’m really enjoying Black Card,2
5254,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
5255,Ok I am LOVING THIS,2
5256,Such good news,2
5257,Just nice.,2
5258,This was amazing.,2
5259,It is a no coincidence,2
5260,I don't like it,0
5261,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
5262,Ok I am LOVING THIS,2
5263,Such good news,2
5264,I don't like it,0
5265,This was amazing.,2
5266,It is a no coincidence,2
5267,I’m really enjoying Black Card,2
5268,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
5269,Ok I am LOVING THIS,2
5270,I don't like it,0
5271,Ok I am LOVING THIS,2
5272,I’m really enjoying Black Card,2
5273,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
5274,Ok I am LOVING THIS,2
5275,Such good news,2
5276,Just nice.,2
5277,This was amazing.,2
5278,It is a no coincidence,2
5279,I’m really enjoying Black Card,0
5280,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
5281,Ok I am LOVING THIS,2
5282,Such good news,2
5283,Just nice.,2
5284,I don't like it,0
5285,It is a no coincidence,2
5286,I’m really enjoying Black Card,2
5287,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
5288,Ok I am LOVING THIS,2
5289,Such good news,1
5290,I don't like it,0
5291,I’m really enjoying Black Card,1
5292,I don't like it,0
5293,Ok I am LOVING THIS,2
5294,I don't like it,0
5295,Just nice.,2
5296,This was amazing.,2
5297,I don't like it,0
5298,I’m really enjoying Black Card,2
5299,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
5300,I don't like it,0
5301,Such good news,2
5302,Just nice.,2
5303,This was amazing.,2
5304,It is a no coincidence,2
5305,I’m really enjoying Black Card,1
5306,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
5307,Ok I am LOVING THIS,2
5308,Such good news,2
5309,Ok I am LOVING THIS,2
5310,I’m really enjoying Black Card,1
5311,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
5312,I don't like it,0
5313,Such good news,1
5314,Just nice.,2
5315,I hate that service in this bank,0
5316,Ok I am LOVING THIS,2
5317,Ok I am LOVING THIS,2
5318,Appreciated you attention in the contact center,1
5319,Appreciate the conversations  and actions brought together in new things with your products and service.,2
5320,Ok I am LOVING THIS,2
5321,Ok I am LOVING THIS,2
5322,As amazing of this is,1
5323,As extremely amazing as this is,2
5324,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,2
5325,Ok I am LOVING THIS,2
5326,Ok I am LOVING THIS,2
5327,I hate that service in this bank,0
5328,Amazing things are possible when we work together towards a better future!. .,2
5329,Just nice.,2
5330,Just nice.,2
5331,I hate that service in this bank,0
5332,Just nice.,2
5333,Omg so much fun with everyone,2
5334,Very strange,2
5335,I’m really enjoying Black Card,2
5336,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
5337,Ok I am LOVING THIS,2
5338,Such good news,2
5339,Just nice.,2
5340,This was amazing.,1
5341,It is a no coincidence,2
5342,I hate that service in this bank,0
5343,Just nice.,2
5344,something,1
5345,Just nice.,2
5346,Ok I am LOVING THIS,2
5347,Just nice.,2
5348,I spent a couple of hours doing payment,2
5349,Ok I am LOVING THIS,2
5350,Ok I am LOVING THIS,2
5351,I hate that service in this bank,0
5352,I hate that service in this bank,0
5353,Appreciated you attention in the contact center,2
5354,Appreciate the conversations  and actions brought together in new things with your products and service.,2
5355,Ok I am LOVING THIS,2
5356,Ok I am LOVING THIS,2
5357,As amazing of this is,2
5358,As extremely amazing as this is,2
5359,I hate that service in this bank,0
5360,Ok I am LOVING THIS,2
5361,Ok I am LOVING THIS,2
5362,"I'm honestly not sure how I feel about this, I'm going to have to see how things Shape Up",2
5363,Amazing things are possible when we work together towards a better future!. .,2
5364,I hate that service in this bank,0
5365,I hate that service in this bank,0
5366,Wow,1
5367,I hate that service in this bank,0
5368,Omg so much fun with everyone,2
5369,Very strange,2
5370,I hate that service in this bank,0
5371,I hate that service in this bank,0
5372,I hate that service in this bank,0
5373,I hate that service in this bank,0
5374,I hate that service in this bank,0
5375,I hate that service in this bank,0
5376,I hate that service in this bank,0
5377,I hate that service in this bank,0
5378,I hate that service in this bank,0
5379,I hate that service in this bank,0
5380,Just nice.,0
5381,Ok I am LOVING THIS,2
5382,I hate that service in this bank,0
5383,I spent a couple of hours doing payment,2
5384,Ok I am LOVING THIS,2
5385,I hate that service in this bank,0
5386,Ok I am LOVING THIS,1
5387,Ok I am LOVING THIS,2
5388,I hate that service in this bank,0
5389,Appreciate the conversations  and actions brought together in new things with your products and service.,1
5390,Ok I am LOVING THIS,2
5391,I hate that service in this bank,0
5392,I hate that service in this bank,0
5393,I hate that service in this bank,0
5394,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,1
5395,I hate that service in this bank,0
5396,Ok I am LOVING THIS,2
5397,"I'm honestly not sure how I feel about this, I'm going to have to see how things Shape Up",2
5398,Amazing things are possible when we work together towards a better future!. .,2
5399,I hate that service in this bank,0
5400,I hate that service in this bank,0
5401,Wow,1
5402,I hate that service in this bank,0
5403,I hate that service in this bank,0
5404,I hate that service in this bank,0
5405,I’m really enjoying Black Card,2
5406,I hate that service in this bank,0
5407,I hate that service in this bank,0
5408,I hate that service in this bank,0
5409,I hate that service in this bank,0
5410,I hate that service in this bank,0
5411,I hate that service in this bank,0
5412,I hate that service in this bank,0
5413,Just nice.,2
5414,I hate that service in this bank,0
5415,I hate that service in this bank,0
5416,I hate that service in this bank,0
5417,I hate that service in this bank,0
5418,I spent a couple of hours doing payment,1
5419,I hate that service in this bank,0
5420,I hate that service in this bank,0
5421,I hate that service in this bank,0
5422,Ok I am LOVING THIS,2
5423,I hate that service in this bank,0
5424,Appreciate the conversations  and actions brought together in new things with your products and service.,2
5425,Ok I am LOVING THIS,1
5426,I hate that service in this bank,0
5427,As amazing of this is,2
5428,As extremely amazing as this is,2
5429,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,2
5430,Ok I am LOVING THIS,2
5431,Ok I am LOVING THIS,1
5432,"I'm honestly not sure how I feel about this, I'm going to have to see how things Shape Up",2
5433,Amazing things are possible when we work together towards a better future!. .,2
5434,Just nice.,1
5435,I hate that service in this bank,0
5436,Wow,2
5437,I hate that service in this bank,0
5438,Omg so much fun with everyone,1
5439,Very strange,2
5440,I’m really enjoying Black Card,2
5441,I hate that service in this bank,0
5442,Ok I am LOVING THIS,2
5443,I hate that service in this bank,0
5444,Just nice.,2
5445,This was amazing.,2
5446,It is a no coincidence,2
5447,Ok I am LOVING THIS,2
5448,Just nice.,2
5449,something,1
5450,Just nice.,2
5451,Ok I am LOVING THIS,2
5452,Just nice.,2
5453,I spent a couple of hours doing payment,0
5454,Ok I am LOVING THIS,1
5455,Ok I am LOVING THIS,2
5456,Ok I am LOVING THIS,2
5457,I hate that service in this bank,0
5458,Appreciated you attention in the contact center,2
5459,Appreciate the conversations  and actions brought together in new things with your products and service.,2
5460,Ok I am LOVING THIS,2
5461,Ok I am LOVING THIS,2
5462,As amazing of this is,0
5463,As extremely amazing as this is,1
5464,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,2
5465,Ok I am LOVING THIS,2
5466,Ok I am LOVING THIS,2
5467,"I'm honestly not sure how I feel about this, I'm going to have to see how things Shape Up",2
5468,Amazing things are possible when we work together towards a better future!. .,2
5469,Just nice.,2
5470,Just nice.,2
5471,Wow,2
5472,I hate that service in this bank,0
5473,I hate that service in this bank,0
5474,I hate that service in this bank,0
5475,I’m really enjoying Black Card,2
5476,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
5477,Ok I am LOVING THIS,2
5478,Such good news,2
5479,Just nice.,2
5480,This was amazing.,2
5481,It is a no coincidence,2
5482,Ok I am LOVING THIS,2
5483,I hate that service in this bank,0
5484,something,2
5485,Just nice.,1
5486,Ok I am LOVING THIS,2
5487,Just nice.,2
5488,I spent a couple of hours doing payment,0
5489,Ok I am LOVING THIS,2
5490,Ok I am LOVING THIS,2
5491,Ok I am LOVING THIS,2
5492,I hate that service in this bank,0
5493,Appreciated you attention in the contact center,2
5494,Appreciate the conversations  and actions brought together in new things with your products and service.,2
5495,Ok I am LOVING THIS,2
5496,I hate that service in this bank,0
5497,I hate that service in this bank,0
5498,As extremely amazing as this is,2
5499,I hate that service in this bank,0
5500,Ok I am LOVING THIS,1
5501,Ok I am LOVING THIS,2
5502,"I'm honestly not sure how I feel about this, I'm going to have to see how things Shape Up",2
5503,Amazing things are possible when we work together towards a better future!. .,2
5504,I hate that service in this bank,0
5505,I hate that service in this bank,0
5506,Wow,1
5507,Just nice.,2
5508,Omg so much fun with everyone,0
5509,Very strange,2
5510,I’m really enjoying Black Card,2
5511,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
5512,Ok I am LOVING THIS,2
5513,Such good news,1
5514,Just nice.,2
5515,This was amazing.,2
5516,It is a no coincidence,1
5517,I hate that service in this bank,0
5518,Just nice.,2
5519,I hate that service in this bank,0
5520,Just nice.,1
5521,I hate that service in this bank,0
5522,Just nice.,2
5523,I spent a couple of hours doing payment,2
5524,Ok I am LOVING THIS,2
5525,I hate that service in this bank,0
5526,Ok I am LOVING THIS,2
5527,Ok I am LOVING THIS,1
5528,Appreciated you attention in the contact center,0
5529,Appreciate the conversations  and actions brought together in new things with your products and service.,2
5530,Ok I am LOVING THIS,1
5531,Ok I am LOVING THIS,2
5532,As amazing of this is,1
5533,I hate the mobile app it doesn’t work very well,0
5534,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,2
5535,Ok I am LOVING THIS,2
5536,Ok I am LOVING THIS,2
5537,"I'm honestly not sure how I feel about this, I'm going to have to see how things Shape Up",1
5538,Amazing things are possible when we work together towards a better future!. .,1
5539,Just nice.,2
5540,I hate the mobile app it doesn’t work very well,0
5541,Wow,2
5542,Just nice.,2
5543,Omg so much fun with everyone,2
5544,Very strange,2
5545,I’m really enjoying Black Card,2
5546,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
5547,Ok I am LOVING THIS,1
5548,Such good news,2
5549,Just nice.,2
5550,This was amazing.,2
5551,It is a no coincidence,2
5552,Ok I am LOVING THIS,1
5553,Just nice.,2
5554,something,1
5555,I hate the mobile app it doesn’t work very well,0
5556,Ok I am LOVING THIS,2
5557,Just nice.,2
5558,I spent a couple of hours doing payment,0
5559,Ok I am LOVING THIS,2
5560,Ok I am LOVING THIS,2
5561,I hate the mobile app it doesn’t work very well,0
5562,Ok I am LOVING THIS,2
5563,Appreciated you attention in the contact center,2
5564,Appreciate the conversations  and actions brought together in new things with your products and service.,2
5565,Ok I am LOVING THIS,2
5566,Ok I am LOVING THIS,2
5567,As amazing of this is,2
5568,As extremely amazing as this is,2
5569,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,2
5570,Ok I am LOVING THIS,1
5571,Ok I am LOVING THIS,2
5572,"I'm honestly not sure how I feel about this, I'm going to have to see how things Shape Up",2
5573,Amazing things are possible when we work together towards a better future!. .,2
5574,I hate the mobile app it doesn’t work very well,0
5575,Just nice.,2
5576,Wow,2
5577,Just nice.,2
5578,Omg so much fun with everyone,2
5579,Very strange,0
5580,I’m really enjoying Black Card,2
5581,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
5582,Ok I am LOVING THIS,2
5583,Such good news,2
5584,I hate the mobile app it doesn’t work very well,0
5585,This was amazing.,2
5586,It is a no coincidence,2
5587,I don't like it,0
5588,Just nice.,1
5589,I hate the mobile app it doesn’t work very well,0
5590,Just nice.,2
5591,Ok I am LOVING THIS,2
5592,Just nice.,2
5593,I hate the mobile app it doesn’t work very well,0
5594,I hate the mobile app it doesn’t work very well,0
5595,I’m really enjoying Black Card,2
5596,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
5597,I hate the mobile app it doesn’t work very well,0
5598,I hate the mobile app it doesn’t work very well,0
5599,Just nice.,1
5600,This was amazing.,2
5601,It is a no coincidence,2
5602,I’m really enjoying Black Card,2
5603,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
5604,I hate that service in this bank,0
5605,Such good news,2
5606,I hate the mobile app it doesn’t work very well,0
5607,This was amazing.,1
5608,It is a no coincidence,2
5609,I’m really enjoying Black Card,1
5610,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
5611,Ok I am LOVING THIS,2
5612,Such good news,2
5613,Just nice.,1
5614,This was amazing.,2
5615,It is a no coincidence,2
5616,I hate the mobile app it doesn’t work very well,0
5617,I hate the mobile app it doesn’t work very well,0
5618,I spent a couple of hours doing payment,2
5619,Ok I am LOVING THIS,2
5620,Ok I am LOVING THIS,2
5621,Ok I am LOVING THIS,2
5622,I hate that service in this bank,0
5623,Appreciated you attention in the contact center,2
5624,Appreciate the conversations  and actions brought together in new things with your products and service.,0
5625,Ok I am LOVING THIS,2
5626,I hate the mobile app it doesn’t work very well,0
5627,As amazing of this is,2
5628,As extremely amazing as this is,1
5629,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,1
5630,Ok I am LOVING THIS,2
5631,Ok I am LOVING THIS,2
5632,Just nice.,0
5633,I spent a couple of hours doing payment,0
5634,I hate the ebanking I prefer mobile app,0
5635,Ok I am LOVING THIS,2
5636,Ok I am LOVING THIS,2
5637,Ok I am LOVING THIS,1
5638,Appreciated you attention in the contact center,2
5639,Appreciate the conversations  and actions brought together in new things with your products and service.,2
5640,Ok I am LOVING THIS,2
5641,Ok I am LOVING THIS,2
5642,As amazing of this is,0
5643,As extremely amazing as this is,2
5644,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,1
5645,Ok I am LOVING THIS,0
5646,Ok I am LOVING THIS,1
5647,Just nice.,2
5648,I spent a couple of hours doing payment,0
5649,Ok I am LOVING THIS,1
5650,I hate that service in this bank,0
5651,Ok I am LOVING THIS,2
5652,Ok I am LOVING THIS,2
5653,Appreciated you attention in the contact center,2
5654,Appreciate the conversations  and actions brought together in new things with your products and service.,2
5655,Ok I am LOVING THIS,2
5656,Ok I am LOVING THIS,0
5657,As amazing of this is,2
5658,As extremely amazing as this is,1
5659,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,0
5660,Ok I am LOVING THIS,1
5661,Ok I am LOVING THIS,2
5662,Just nice.,2
5663,I spent a couple of hours doing payment,2
5664,Ok I am LOVING THIS,2
5665,I hate that service in this bank,0
5666,Ok I am LOVING THIS,2
5667,Ok I am LOVING THIS,1
5668,I hate that service in this bank,0
5669,Appreciate the conversations  and actions brought together in new things with your products and service.,1
5670,Ok I am LOVING THIS,2
5671,Ok I am LOVING THIS,1
5672,I hate that service in this bank,0
5673,As extremely amazing as this is,1
5674,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,1
5675,Ok I am LOVING THIS,1
5676,Ok I am LOVING THIS,2
5677,Just nice.,2
5678,I spent a couple of hours doing payment,2
5679,Ok I am LOVING THIS,2
5680,Ok I am LOVING THIS,2
5681,Ok I am LOVING THIS,2
5682,Ok I am LOVING THIS,2
5683,Appreciated you attention in the contact center,2
5684,Appreciate the conversations  and actions brought together in new things with your products and service.,2
5685,Ok I am LOVING THIS,1
5686,Ok I am LOVING THIS,2
5687,I hate that service in this bank,0
5688,As extremely amazing as this is,1
5689,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,2
5690,Ok I am LOVING THIS,1
5691,Ok I am LOVING THIS,2
5692,I’m really enjoying Black Card,2
5693,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
5694,I hate that service in this bank,0
5695,Such good news,2
5696,Just nice.,2
5697,This was amazing.,2
5698,It is a no coincidence,1
5699,I’m really enjoying Black Card,2
5700,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
5701,Ok I am LOVING THIS,1
5702,Such good news,2
5703,Just nice.,2
5704,This was amazing.,2
5705,It is a no coincidence,1
5706,I’m really enjoying Black Card,2
5707,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
5708,Ok I am LOVING THIS,1
5709,Such good news,2
5710,Ok I am LOVING THIS,2
5711,I hate that service in this bank,0
5712,I hate that service in this bank,0
5713,Ok I am LOVING THIS,2
5714,Such good news,2
5715,Just nice.,2
5716,This was amazing.,2
5717,It is a no coincidence,2
5718,I’m really enjoying Black Card,2
5719,"Yes, I have to give Call of Duty a break because this shit looks lit!",1
5720,Ok I am LOVING THIS,1
5721,Such good news,2
5722,Just nice.,2
5723,This was amazing.,1
5724,It is a no coincidence,1
5725,I hate that service in this bank,0
5726,"Yes, I have to give Call of Duty a break because this shit looks lit!",1
5727,Ok I am LOVING THIS,1
5728,I hate that service in this bank,0
5729,I hate the ebanking I prefer mobile app,0
5730,I’m really enjoying Black Card,2
5731,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
5732,Ok I am LOVING THIS,2
5733,Such good news,2
5734,Just nice.,2
5735,This was amazing.,1
5736,It is a no coincidence,0
5737,I’m really enjoying Black Card,2
5738,I hate the ebanking I prefer mobile app,0
5739,I don't like it,0
5740,Such good news,1
5741,Just nice.,2
5742,This was amazing.,2
5743,It is a no coincidence,2
5744,I’m really enjoying Black Card,2
5745,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
5746,Ok I am LOVING THIS,2
5747,I hate the ebanking I prefer mobile app,0
5748,I hate the ebanking I prefer mobile app,0
5749,I’m really enjoying Black Card,2
5750,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
5751,Ok I am LOVING THIS,2
5752,Such good news,1
5753,Just nice.,2
5754,This was amazing.,2
5755,It is a no coincidence,2
5756,I’m really enjoying Black Card,2
5757,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
5758,Ok I am LOVING THIS,1
5759,Such good news,2
5760,Just nice.,2
5761,This was amazing.,2
5762,It is a no coincidence,2
5763,I hate the ebanking I prefer mobile app,0
5764,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
5765,I hate the ebanking I prefer mobile app,0
5766,Such good news,1
5767,Ok I am LOVING THIS,0
5768,Ok I am LOVING THIS,2
5769,I hate the ebanking I prefer mobile app,0
5770,Appreciated you attention in the contact center,2
5771,Appreciate the conversations  and actions brought together in new things with your products and service.,2
5772,Ok I am LOVING THIS,2
5773,Ok I am LOVING THIS,2
5774,As amazing of this is,2
5775,As extremely amazing as this is,2
5776,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,2
5777,Ok I am LOVING THIS,2
5778,Ok I am LOVING THIS,2
5779,"I'm honestly not sure how I feel about this, I'm going to have to see how things Shape Up",2
5780,I hate the ebanking I prefer mobile app,0
5781,Just nice.,2
5782,I hate the ebanking I prefer mobile app,0
5783,I hate the ebanking I prefer mobile app,0
5784,Just nice.,1
5785,Omg so much fun with everyone,2
5786,Very strange,2
5787,I’m really enjoying Black Card,2
5788,I hate the ebanking I prefer mobile app,0
5789,I hate the ebanking I prefer mobile app,0
5790,Such good news,2
5791,Just nice.,2
5792,This was amazing.,2
5793,It is a no coincidence,2
5794,Ok I am LOVING THIS,1
5795,Just nice.,2
5796,something,0
5797,Just nice.,2
5798,I hate the ebanking I prefer mobile app,0
5799,Just nice.,2
5800,I spent a couple of hours doing payment,2
5801,Ok I am LOVING THIS,1
5802,Ok I am LOVING THIS,1
5803,I hate the mobile app it doesn’t work very well,0
5804,Ok I am LOVING THIS,2
5805,Appreciated you attention in the contact center,2
5806,Appreciate the conversations  and actions brought together in new things with your products and service.,2
5807,Ok I am LOVING THIS,1
5808,Ok I am LOVING THIS,2
5809,I hate that service in this bank,0
5810,As extremely amazing as this is,1
5811,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,2
5812,I hate that service in this bank,0
5813,Ok I am LOVING THIS,2
5814,"I'm honestly not sure how I feel about this, I'm going to have to see how things Shape Up",0
5815,Amazing things are possible when we work together towards a better future!. .,0
5816,Just nice.,2
5817,Just nice.,2
5818,Wow,2
5819,Just nice.,2
5820,Omg so much fun with everyone,1
5821,I hate that service in this bank,0
5822,I hate that service in this bank,0
5823,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
5824,Ok I am LOVING THIS,2
5825,Such good news,2
5826,Just nice.,1
5827,I hate that service in this bank,0
5828,It is a no coincidence,2
5829,Ok I am LOVING THIS,2
5830,Just nice.,1
5831,something,2
5832,I hate that service in this bank,0
5833,Ok I am LOVING THIS,2
5834,I hate that service in this bank,0
5835,I spent a couple of hours doing payment,1
5836,Ok I am LOVING THIS,2
5837,Ok I am LOVING THIS,2
5838,I hate that service in this bank,0
5839,Ok I am LOVING THIS,2
5840,Appreciated you attention in the contact center,2
5841,Appreciate the conversations  and actions brought together in new things with your products and service.,2
5842,Ok I am LOVING THIS,2
5843,Ok I am LOVING THIS,2
5844,As amazing of this is,2
5845,I hate that service in this bank,0
5846,I hate that service in this bank,0
5847,Ok I am LOVING THIS,2
5848,Ok I am LOVING THIS,2
5849,"I'm honestly not sure how I feel about this, I'm going to have to see how things Shape Up",2
5850,Amazing things are possible when we work together towards a better future!. .,1
5851,I hate that service in this bank,0
5852,Just nice.,2
5853,Wow,2
5854,Just nice.,1
5855,Omg so much fun with everyone,2
5856,Very strange,2
5857,I’m really enjoying Black Card,1
5858,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
5859,Ok I am LOVING THIS,2
5860,Such good news,2
5861,Just nice.,2
5862,This was amazing.,2
5863,It is a no coincidence,2
5864,Ok I am LOVING THIS,2
5865,Just nice.,2
5866,I hate that service in this bank,0
5867,I hate that service in this bank,0
5868,I hate that service in this bank,0
5869,Just nice.,2
5870,I spent a couple of hours doing payment,2
5871,Ok I am LOVING THIS,2
5872,Ok I am LOVING THIS,2
5873,Ok I am LOVING THIS,2
5874,I hate that service in this bank,0
5875,I hate that service in this bank,0
5876,Appreciate the conversations  and actions brought together in new things with your products and service.,1
5877,I hate that service in this bank,0
5878,Ok I am LOVING THIS,2
5879,As amazing of this is,2
5880,As extremely amazing as this is,2
5881,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,0
5882,I hate that service in this bank,0
5883,Ok I am LOVING THIS,2
5884,I hate that service in this bank,0
5885,Amazing things are possible when we work together towards a better future!. .,2
5886,Just nice.,2
5887,Just nice.,2
5888,Wow,2
5889,Just nice.,1
5890,Omg so much fun with everyone,2
5891,Very strange,2
5892,I’m really enjoying Black Card,1
5893,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
5894,Ok I am LOVING THIS,2
5895,I hate that service in this bank,0
5896,Just nice.,2
5897,This was amazing.,2
5898,It is a no coincidence,2
5899,Ok I am LOVING THIS,2
5900,Just nice.,1
5901,something,2
5902,I hate that service in this bank,0
5903,I hate that service in this bank,0
5904,Just nice.,1
5905,I spent a couple of hours doing payment,2
5906,I hate that service in this bank,0
5907,Ok I am LOVING THIS,2
5908,Ok I am LOVING THIS,2
5909,Ok I am LOVING THIS,2
5910,Appreciated you attention in the contact center,2
5911,Appreciate the conversations  and actions brought together in new things with your products and service.,2
5912,I hate that service in this bank,0
5913,I hate that service in this bank,0
5914,As amazing of this is,2
5915,As extremely amazing as this is,2
5916,I hate that service in this bank,0
5917,Ok I am LOVING THIS,2
5918,I hate that service in this bank,0
5919,"I'm honestly not sure how I feel about this, I'm going to have to see how things Shape Up",2
